Num;version_texte;version_corrigee;version_unifiee;id;type;lieu;ref_agorha;bio
;. Doucet;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J. A . D.;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J. a Doucet;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J. D.;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J. D;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;J. a Doucet;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;M. J. a Doucet;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;DOUCET;Jacques Doucet;Doucet, Jacques;jdoucet;protagoniste;;https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473;
;;;;;;;;
;Dethomas;Maxime Dethomas;Dethomas, Maxime;mdethomas;artiste;;;Peintre, illustrateur et décorateur de théâtre rattaché au mouvement post-impressionniste. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 5 dessins de Dethomas.
;;;;;;;;
;Perdrizet;Paul Perdrizet;Perdrizet, Paul;pperdrizet;savant;Nancy;https://agorha.inha.fr/ark:/54721/b908de73-e016-47c1-983b-32ee71cc357c;Dès l'annonce en juin 1908 du recrutement par Doucet de René-Jean pour développer la BAA et avant même l'entrée en fonction de ce dernier, Paul Perdrizet propose à René-Jean des acquisitions relatives à l'histoire de l'art antique et l'archéologie. Titulaire de la chaire d'archéologie à l'université de Nancy, il est lié depuis quelques années avec René-Jean, cette amitié perdurant jusqu'à la mort de ce dernier. Perdrizet aide aussi au développement d'un réseau de correspondants allemands de la BAA. Parallèlement à ses activités scientifiques, il contribue à la direction des usines Gallé après son mariage en 1906 avec Lucile Gallé, l'une des filles du maître verrier. 
;;;;;;;;
;Millet;Gabriel Millet;Millet, Gabriel;gmillet;savant;;;Maître de conférences (1899), puis directeur d’études adjoint (1907) et directeur d’études (1913) à l'École pratique des hautes études, Millet se rend célèbre par ses études du christianisme byzantin et d’archéologie chrétienne.
;;;;;;;;
;Brogi;Brogi;Brogi;brogi;fournisseur;;;Famille de photographes italiens, ayant probablement fourni des reproductions à la BAA. 
;;;;;;;;
;Lembo;Giustino Lembo;Lembo, Giustino;glembo;artiste;;;Agence photographique de Naples. Giustino Lembo réalisa notamment des photographies d'antiquités grecques, romaines et égyptiennes. 
;;;;;;;;
;Verdilhan;Louis-Mathieu Verdilhan;Verdilhan, Louis-Mathieu;lmverdilhan;artiste;Marseille;;Peintre paysagiste provençal. A la suite de sa découverte de tableaux de Verdilhan chez Édouard Latil à La Simiane en février 1913, Jacques Doucet rend visite au peintre à Marseille et lui achète des dessins et deux tableaux. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 7 dessins de Verdilhan. 
;"""Verdhilan""";Louis-Mathieu Verdilhan;Verdilhan, Louis-Mathieu;lmverdilhan;artiste;Marseille;;Peintre paysagiste provençal. A la suite de sa découverte de tableaux de Verdilhan chez Édouard Latil à La Simiane en février 1913, Jacques Doucet rend visite au peintre à Marseille et lui achète des dessins et deux tableaux. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 7 dessins de Verdilhan. 
;Verdhillan;Louis-Mathieu Verdilhan;Verdilhan, Louis-Mathieu;lmverdilhan;artiste;Marseille;;Peintre paysagiste provençal. A la suite de sa découverte de tableaux de Verdilhan chez Édouard Latil à La Simiane en février 1913, Jacques Doucet rend visite au peintre à Marseille et lui achète des dessins et deux tableaux. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 7 dessins de Verdilhan. 
;;;;;;;;
;Segalen;Victor Segalen;Segalen, Victor;vsegalen;savant;Brest;https://agorha.inha.fr/ark:/54721/5ac4ba97-56b9-4ecc-b7d2-1653ce8f9402;Médecin de marine, poète et archéologue, Segalen est en contact en 1913-1914 avec la BAA en raison de l'une de ses expéditions en Extrême-Orient, financée par Doucet. Ce financement permit de faire l’acquisition, directement en Chine, d’ouvrages destinés à augmenter le riche fonds asiatique de la BAA, dont Doucet souhaitait faire la base d’une « École française de Pékin ».
;Segallen;Victor Segalen;Segalen, Victor;vsegalen;savant;Brest;https://agorha.inha.fr/ark:/54721/5ac4ba97-56b9-4ecc-b7d2-1653ce8f9402;Médecin de marine, poète et archéologue, Segalen est en contact en 1913-1914 avec la BAA en raison de l'une de ses expéditions en Extrême-Orient, financée par Doucet. Ce financement permit de faire l’acquisition, directement en Chine, d’ouvrages destinés à augmenter le riche fonds asiatique de la BAA, dont Doucet souhaitait faire la base d’une « École française de Pékin ».
;Dr Segalen;Victor Segalen;Segalen, Victor;vsegalen;savant;Brest;https://agorha.inha.fr/ark:/54721/5ac4ba97-56b9-4ecc-b7d2-1653ce8f9402;Médecin de marine, poète et archéologue, Segalen est en contact en 1913-1914 avec la BAA en raison de l'une de ses expéditions en Extrême-Orient, financée par Doucet. Ce financement permit de faire l’acquisition, directement en Chine, d’ouvrages destinés à augmenter le riche fonds asiatique de la BAA, dont Doucet souhaitait faire la base d’une « École française de Pékin ».
;;;;;;;;
;neveu Jean;Jean Dubrujeaud;Dubrujeaud, Jean;jdubrujeaud;famille;;;Second fils de Marie Doucet, sœur du couturier et de Léon Dubrujeaud, entrepreneur, Jean accompagne son frère et son oncle lors de certains voyages. 
;Jean Dubrujeaud;Jean Dubrujeaud;Dubrujeaud, Jean;jdubrujeaud;famille;;;Second fils de Marie Doucet, sœur du couturier et de Léon Dubrujeaud, entrepreneur, Jean accompagne son frère et son oncle lors de certains voyages. 
;;;;;;;;
;Roché;Henri-Pierre Roché;Roché, Henri-Pierre;hproche;marchand;;;Doucet rencontre Roché en 1916. Ils partagent le même goût pour l’art de Marie Laurencin, Roché ayant par ailleurs été l'amant de la peintre près de dix ans auparavant. 
;;;;;;;;
;Joseph.;Joseph Reinach;Reinach, Joseph;jreinach;savant;;;Aîné des trois frères Reinach.
;;;;;;;;
;Salomon;Salomon Reinach;Reinach, Salomon;sreinach;savant;Saint-Germain-en-Laye;https://agorha.inha.fr/ark:/54721/5ac4ba97-56b9-4ecc-b7d2-1653ce8f9402;Attaché (1886), conservateur-adjoint (1893) et enfin conservateur (1902) du musée des antiquités nationales à Saint-Germain-en-Laye, Reinach est aussi professeur à l'École du Louvre. Il joue le rôle de conseiller régulier auprès de René-Jean et Doucet, notamment en faisant entrer à la BAA en 1912 la bibliothèque du commandant Émile Espérandieu, consacrée à la Gaule romaine. 
;;;;;;;;
;Goloubew;Victor Goloubew;Goloubew, Victor;vgoloubew;savant;;https://agorha.inha.fr/ark:/54721/3d96340b-6835-41e9-8f5c-50715598b49f;Collectionneur d’origine aristocratique russe, Goloubew émigre en Allemagne en 1901 pour son doctorat de philologie, puis s'installe à Paris à partir de 1905. Il est un proche de René-Jean, parrain de sa fille Sabinenée en 1909. Il constitue un fonds photographique oriental, d'abord déposé à la BAA puis donné en 1924 au musée Guimet. 
;V. GOLOUBEW;Victor Goloubew;Goloubew, Victor;vgoloubew;savant;;https://agorha.inha.fr/ark:/54721/3d96340b-6835-41e9-8f5c-50715598b49f;Collectionneur d’origine aristocratique russe, Goloubew émigre en Allemagne en 1901 pour son doctorat de philologie, puis s'installe à Paris à partir de 1905. Il est un proche de René-Jean, parrain de sa fille Sabinenée en 1909. Il constitue un fonds photographique oriental, d'abord déposé à la BAA puis donné en 1924 au musée Guimet. 
;;;;;;;;
;Liard;Louis Liard;Liard, Louis;lliard;savant;;https://agorha.inha.fr/ark:/54721/43d24bc3-fa50-490f-878d-986f85441779;Vice-recteur de l'Université de Paris de 1902 à 1917 avec lequel eurent lieu en 1913 les premiers contacts de Doucet en vue de léguer la BAA à l'Université de Paris. En 1916-1917, Doucet transforme ce legs en don. 
;;;;;;;;
;Poincaré;Lucien Poincaré;Poincaré, Lucien;lpoincare;savant;;;Vice-Recteur de l'Université de Paris nommé en 1917 à la suite du décès de Louis Liard, il négocie avec Doucet sa donation de la BAA. 
;;;;;;;;
;Joubin;André Joubin;Joubin, André;ajoubin;savant;;https://agorha.inha.fr/ark:/54721/aae3c2ee-ba3f-43db-89f0-e9c39ff82149;Élève de l'École normale supérieure puis de l'École française d'Athènes, Joubin est d'abord chargé de cours d'archéologie classique à l'université de Montpellier, où il dirige également le musée Fabre. Nommé directeur de la BAA au 1er janvier 1918, il le reste juqu'à sa retraite en juin 1937. 
;A. Joubin -;André Joubin;Joubin, André;ajoubin;savant;;https://agorha.inha.fr/ark:/54721/aae3c2ee-ba3f-43db-89f0-e9c39ff82149;Élève de l'École normale supérieure puis de l'École française d'Athènes, Joubin est d'abord chargé de cours d'archéologie classique à l'université de Montpellier, où il dirige également le musée Fabre. Nommé directeur de la BAA au 1er janvier 1918, il le reste juqu'à sa retraite en juin 1937. 
;;;;;;;;
;Karo;Georg Karo;Karo, Georg;gkaro;savant;;https://agorha.inha.fr/ark:/54721/b3ae7561-8dd0-4dcb-b5cc-1b1d345d818d;Archéologue ayant fouillé le site crétois de Knossos, professeur d'archéologie classique et directeur de l'Institut archéologique allemand d'Athènes.
;;;;;;;;
;Deville;Etienne Deville;Deville, Étienne;edeville;employe;;https://agorha.inha.fr/ark:/54721/67fe7366-1d20-41a9-a67d-d8340c9d7bc8;Autodidacte de formation, bibliophile, Deville est recruté à la BAA au 1er janvier 1909 pour être l'adjoint de René-Jean. Très méticuleux, il est l'auteur de plusieurs index publiés par la BAA (1910, 1912). Il semble avoir été très proche de Vuaflart.
;;;;;;;;
;Harrassowitz;Harrassowitz;Harrassowitz;org1;fournisseur;;;Fondée en 1872 à Leipzig, la maison Harrassowitz édite des ouvrages scientifiques, notamment sur l'Antiquité et les études orientales. 
;Harrasowitz;Harrassowitz;Harrassowitz;org1;fournisseur;;;Fondée en 1872 à Leipzig, la maison Harrassowitz édite des ouvrages scientifiques, notamment sur l'Antiquité et les études orientales. 
;;;;;;;;
;Hoepli;Hoepli;Hoepli;org2;fournisseur;Milan;;Libraire-éditeur milanais, fournisseur régulier de la BAA en ouvrages imprimés en italien d'octobre 1910 à mai 1917, plutôt en petites quantités. 
;;;;;;;;
;Corot;Jean-Baptiste Camille Corot;Corot, Jean-Baptiste Camille;jbccorot;artiste;;;Présent dans les premiers achats de Doucet de 1906 et 1907, Corot est particulièrement bien représenté à la BAA avant la première guerre mondiale, notamment par ses très prisés clichés-verres. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 12 dessins de Corot. René-Jean publiera en 1931 une monographie sur Corot. 
;;;;;;;;
;Manet;Édouard Manet;Manet, Édouard;emanet;artiste;;;Artiste fétiche de Doucet, Manet est présent dans ses collections personnelles dès 1906 (achat du Lapin, 1866, Avignon, musée Angladon et achat d'estampes auprès du marchand Alfred Strölin) comme dans les achats réalisés pour la BAA par Clément-Janin dès son entrée en fonction en 1911. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 3 dessins de Manet. 
;;;;;;;;
;Paul Delaroche;Paul Delaroche;Delaroche, Paul;pdelaroche;artiste;;;Peintre d'histoire de la première moitié du XIXe siècle, Delaroche est bien représenté dans les musées français à l'époque de Doucet.  
;;;;;;;;
;Degas;Edgar Degas;Degas, Edgar;edegas;artiste;;;Présent dès 1907 dans la collection de Doucet (achat de Madame Jeantaud au miroir, c. 1875, Paris, musée d'Orsay ,  achat de dessins et d'estampes), Edgar Degas est également l'un des artistes majeurs dont la BAA possède des monotypes et des estampes. Au cours des premiers mois de son activité à la BAA en 1911, Clément-Janin acquiert 22 pièces de Degas. Des dessins de danseuses sont également acquis (8 sont vendus en décembre 1917 lors de la vente destinée à financer la donation de la BAA à l'Université). 
;;;;;;;;
;Cezanne;Paul Cézanne;Cézanne, Paul;pcezanne;artiste;;;Doucet possède trois peintures de Paul Cézanne dans sa collection personnelle, dont Une vieille femme avec un chapelet, datant de 1895-1896 (Londres, National Gallery) pour l'achat de laquelle il a probablement bénéficié des conseils de René-Jean. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend un dessin de Cézanne.
;;;;;;;;
;Vuillard;Édouard Vuillard;Vuillard, Édouard;evuillard;artiste;;;Peintre, photographe et graveur ayant été l'une des figures proéminentes du mouvement Nabi, avec Pierre Bonnard. En 1921, Doucet possède un petit tableau de Vuillard, le seul peintre nabi de sa collection. Vuillard est également représenté dès 1911 dans le cabinet d'estampes modernes de la BAA. 
;;;;;;;;
;Bonnard;Pierre Bonnard;Bonnard, Pierre;pbonnard;artiste;;;Peintre, photographe et graveur, Bonnard a été l'une des principales figures du mouvement Nabi, avec Édouard Vuillard. Doucet, intéressé par ses œuvres pour la BAA, semble n'en avoir jamais collectionné à titre personnel. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 7 dessins de Bonnard.
;;;;;;;;
;Marquet;Albert Marquet;Marquet, Albert;amarquet;artiste;;;Peintre ayant fait partie du groupe des Fauves. Doucet acquiert des dessins de Marquet pour le cabinet des dessins modernes, qu'il dispersera en septembre 1917 pour financer sa donation de la BAA à l'Université de Paris (4 de ses dessins sont alors vendus). 
;;;;;;;;
;Picasso;Pablo Picasso;Picasso, Pablo;ppicasso;artiste;;;Représentatif avec Matisse de la collection d'art contemporain de Doucet, Picasso fait partie des artistes que Doucet commence à collectionner alors qu'il a démarré la constitution de sa bibliothèque littéraire. Grâce à Henri Roché, Doucet visite en 1916 l'atelier de Picasso et lui achète une nature-morte de 1910 et Arlequin de 1915 (Avignon, musée Angladon). C'est en 1924 qu'il acquiert Les Demoiselles d'Avignon, 1907 (New York, Museum of Modern Art).
;;;;;;;;
;Derain;André Derain;Derain, André;aderain;artiste;;;Après avoir participé au mouvement fauve, Derain, peintre et graveur français, s'oriente vers un réalisme plus classique. Doucet apprécie son métier solide et possède plusieurs de ses peintures. 
;;;;;;;;
;Kahnweiller;Daniel-Henry Kahnweiler;Kahnweiler, Daniel-Henry;dhkahnweiler;marchand;;;D'origine allemande, Kahnweiler s'installe à Paris en 1902 et ouvre une galerie 5 ans plus tard. En 1909, il édite un volume d'Apollinaire, illustré par Derain. A l'époque de la BAA, il est particulièrement proche des peintres cubistes, dont il est le marchand. 
;;;;;;;;
;Segonzac;André Dunoyer de Segonzac;Segonzac, André Dunoyer de;adsegonzac;artiste;;;Peintre, graveur et illustrateur français, élève notamment de Desvallières. Si Doucet souhaite acquérir de ses œuvres en 1920, une abondante correspondance avec René-Jean conservée à la bibliothèque de l'INHA témoigne de leur amitié. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 2 de ses dessins. 
;;;;;;;;
;Luc-Albert Moreau;Luc-Albert Moreau;Moreau, Luc Albert;lamoreau;artiste;;;Peintre et graveur français faisant partie des artistes appréciés par Doucet et René-Jean et qui constituent, avec André Dunoyer de Segonzac et André Marchand, une tendance classicisante de l'art moderne. 
;L. A. Moreau;Luc-Albert Moreau;Moreau, Luc Albert;lamoreau;artiste;;;Peintre et graveur français faisant partie des artistes appréciés par Doucet et René-Jean et qui constituent, avec André Dunoyer de Segonzac et André Marchand, une tendance classicisante de l'art moderne. 
;;;;;;;;
;Marchand;Jean Marchand;Marchand, Jean;jmarchand;artiste;;;Peintre français formé dans l'atelier de Bonnat à l'École des Beaux-arts, proche avant la première guerre mondiale du groupe londonien de Bloomsbury. René-Jean le défendra toute sa vie, lui passant commande d'un grand tableau pour le musée de la Guerre. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 5 dessins de Marchand. 
;Jean Marchand;Jean Marchand;Marchand, Jean;jmarchand;artiste;;;Peintre français formé dans l'atelier de Bonnat à l'École des Beaux-arts, proche avant la première guerre mondiale du groupe londonien de Bloomsbury. René-Jean le défendra toute sa vie, lui passant commande d'un grand tableau pour le musée de la Guerre. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 5 dessins de Marchand. 
;;;;;;;;
;Iribe;Paul Iribe;Iribe, Paul;piribe;artiste;;;Dessinateur et illustrateur de mode notamment pour la Gazette du bon ton, Iribe fait partie des artistes auxquels Doucet fait appel à partir de 1913 pour la décoration de son appartement avenue du Bois. Il réalise pour lui différents meubles dans un style résolument moderne. 
;;;;;;;;
;Flameng;François Flameng;Flameng, François;fflameng;artiste;;;François Flameng est peintre officiel des armées pendant la première guerre mondiale.
;;;;;;;;
;Forain;Jean-Louis Forain;Forain, Jean-Louis;jlforain;artiste;;;Peintre et graveur français ayant participé à 4 des 8 expositions impressionnistes, Forain est associé à la représentation de la vie parisienne. Faisant l'objet d'achats ponctuels par Doucet dès 1909, ses gravures intègrent massivement la BAA en 1911. Pendant la première guerre mondiale, il publie des dessins patriotiques dans Le Figaro et L'Opinion. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 55 dessins de Forain.
;;;;;;;;
;Sert;José-Maria Sert;Sert, José Maria;jmsert;artiste;;;Peintre décorateur catalan installé en 1899 à Paris, qui revendique des références à la grande tradition, par exemple de la peinture baroque. 
;;;;;;;;
;Marcus Vachon;Marius Vachon;Vachon, Marius;mvachon;savant;;;Historien et critique d'art, militant des arts industriels qui participe à la création en 1889 du musée d'Art et d'industrie de Saint-Étienne. 
;;;;;;;;
;Marcel;Pierre Marcel;Marcel, Pierre;pmarcel;savant;;;"Membre actif au sein de la Société de l'histoire de l'art français, Pierre Marcel est élu professeur d'histoire générale à l'École des beaux-arts en 1912. Assez lié avec René-Jean et sa première épouse Myto, il le sollicite régulièrement, pour des conférences ou des compte-rendus. Pendant la première guerre mondiale, il est chargé de la ""section photographique et cinématographique de l'armée"" ,  il se fâche alors avec Doucet qui lui avait prêté l'atelier photographique de la BAA et ses matériels. "
;P. M.;Pierre Marcel;Marcel, Pierre;pmarcel;savant;;;"Membre actif au sein de la Société de l'histoire de l'art français, Pierre Marcel est élu professeur d'histoire générale à l'École des beaux-arts en 1912. Assez lié avec René-Jean et sa première épouse Myto, il le sollicite régulièrement, pour des conférences ou des compte-rendus. Pendant la première guerre mondiale, il est chargé de la ""section photographique et cinématographique de l'armée"" ,  il se fâche alors avec Doucet qui lui avait prêté l'atelier photographique de la BAA et ses matériels. "
;Pierre Marcel;Pierre Marcel;Marcel, Pierre;pmarcel;savant;;;"Membre actif au sein de la Société de l'histoire de l'art français, Pierre Marcel est élu professeur d'histoire générale à l'École des beaux-arts en 1912. Assez lié avec René-Jean et sa première épouse Myto, il le sollicite régulièrement, pour des conférences ou des compte-rendus. Pendant la première guerre mondiale, il est chargé de la ""section photographique et cinématographique de l'armée"" ,  il se fâche alors avec Doucet qui lui avait prêté l'atelier photographique de la BAA et ses matériels. "
;;;;;;;;
;Maspéro;Gaston Maspéro;Maspéro, Gaston;gmaspero;savant;Le Caire;;Professeur de philologie et d’archéologie égyptiennes au Collège de France (1874-1900) puis directeur à l’École pratique des hautes études (1903-1916), Maspéro est à plusieurs reprises en poste au Caire, à la tête du Service des antiquités de l'Egypte. Doucet l'y rencontre en 1909. 
;Maspero;Gaston Maspéro;Maspéro, Gaston;gmaspero;savant;Le Caire;;Professeur de philologie et d’archéologie égyptiennes au Collège de France (1874-1900) puis directeur à l’École pratique des hautes études (1903-1916), Maspéro est à plusieurs reprises en poste au Caire, à la tête du Service des antiquités de l'Egypte. Doucet l'y rencontre en 1909. 
;;;;;;;;
;Devismes;Eugène Devismes;Devismes, Eugène;edevismes;employe;;https://agorha.inha.fr/ark:/54721/a4775f6f-7f86-4da9-afa8-9764d158daa0;Se désignant dès 1891 comme photographe, Devismes est le photographe attitré de la BAA, rémunéré par Doucet jusqu'en 1917. A ce titre, il effectue des travaux de reproductions dans les bibliothèques et les musées. 
;;;;;;;;
;Bertaux;Émile Bertaux;Bertaux, Émile;ebertaux;savant;Lyon;;Ami de Paul Perdrizet, spécialiste de l'art italien, Bertaux est professeur d'histoire de l'art à l'Université de Lyon,  puis professeur à la Sorbonne. Il conseille la BAA et est pressenti par Doucet pour prendre la direction de la BAA après sa donation à l'Université. Il décède en 1917.
;Emile Bertaux;Émile Bertaux;Bertaux, Émile;ebertaux;savant;Lyon;;Ami de Paul Perdrizet, spécialiste de l'art italien, Bertaux est professeur d'histoire de l'art à l'Université de Lyon,  puis professeur à la Sorbonne. Il conseille la BAA et est pressenti par Doucet pour prendre la direction de la BAA après sa donation à l'Université. Il décède en 1917.
;;;;;;;;
;Holleau;Maurice Holleaux;Holleaux, Maurice;mholleaux;savant;;;Maître de conférences d’histoire grecque à la faculté des lettres de Bordeaux (1887) puis d’antiquités grecques et latines à la faculté des lettres de Lyon (1890), Holleaux est directeur de l’École française d'Athènes de 1904 à 1912. 
;Holleaux;Maurice Holleaux;Holleaux, Maurice;mholleaux;savant;;;Maître de conférences d’histoire grecque à la faculté des lettres de Bordeaux (1887) puis d’antiquités grecques et latines à la faculté des lettres de Lyon (1890), Holleaux est directeur de l’École française d'Athènes de 1904 à 1912. 
;;;;;;;;
;Vuaflart;Albert Vuaflart;Vuaflart, Albert;avuaflart;savant;;https://agorha.inha.fr/ark:/54721/cfe5d9bc-ec9c-4656-9431-9c13614d7e8a;"Érudit autodidacte, Vuaflart est au service de Doucet dès 1908 et le conseille pour ses achats. Puis, il joue un rôle essentiel à la BAA, dont il porte parfois le terme de ""directeur"" ou de ""conservateur"". Logé par Doucet dans un entresol sur cour au 16 rue Spontini, il était en très mauvais termes avec René-Jean. "
;Albert Vuaflart;Albert Vuaflart;Vuaflart, Albert;avuaflart;savant;;https://agorha.inha.fr/ark:/54721/cfe5d9bc-ec9c-4656-9431-9c13614d7e8a;"Érudit autodidacte, Vuaflart est au service de Doucet dès 1908 et le conseille pour ses achats. Puis, il joue un rôle essentiel à la BAA, dont il porte parfois le terme de ""directeur"" ou de ""conservateur"". Logé par Doucet dans un entresol sur cour au 16 rue Spontini, il était en très mauvais termes avec René-Jean. "
;;;;;;;;
;Bayet;Bayet;Bayet;bayet;savant;;;Directeur de l'enseignement supérieur avec lequel eurent lieu les premiers pourpalers en vue du legs de la BAA à l'Université de Paris. 
;;;;;;;;
;Tafrali;Oreste Tafrali;Tafrali, Oreste;otafrali;employe;;;Étudiant roumain parlant le russe, amené par Gabriel Millet à la BAA et chargé en 1921 de rédiger un répertoire de l'art byzantin. 
;Taffrali;Oreste Tafrali;Tafrali, Oreste;otafrali;employe;;;Étudiant roumain parlant le russe, amené par Gabriel Millet à la BAA et chargé en 1921 de rédiger un répertoire de l'art byzantin. 
;;;;;;;;
;Bartchewski;L. S. Barshevsky;Barshevsky, L. S. ;lsbarshevsky;artiste;;https://agorha.inha.fr/ark:/54721/268a8276-ebaf-487e-935d-745d4e222103 ;Photographe amateur en Asie centrale dont Gabriel Millet possédait des clichés, objet de plusieurs lettres de ce dernier à René-Jean en 1909 et 1910 en vue de leur acquisition par Doucet pour la BAA. 
;;;;;;;;
;Dufy;Raoul Dufy;Dufy, Raoul;rdufy;artiste;;;Peintre français un moment rattaché au mouvement fauve puis influencé par Cézanne, Dufy réalise des bois gravés pour le Bestiaire ou cortège d'Orphée d'Apollinaire, rapidement reconnus après leur publication en 1911. La BAA compte un bel ensemble d'estampes de Dufy. 
;;;;;;;;
;Rodin;Auguste Rodin;Rodin, Auguste;arodin;artiste;;;Présent pour tous les lecteurs de la bibliothèque au travers de son buste par Alexandre Falguière, Rodin fait partie de la première liste d'artistes dont Doucet achète des estampes entre 1906 et 1908. Les achats se poursuivent ensuite pour la BAA. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 12 dessins de Rodin. 
;;;;;;;;
;Groult;Camille Groult;Groult, Camille;cgroult;collectionneur;;https://agorha.inha.fr/ark:/54721/7709eb70-580e-417d-8f12-37c64c79ead5;Collectionneur du XVIIIe siècle. 
;;;;;;;;
;Marie Laurencin;Marie Laurencin;Laurencin, Marie;mlaurencin;artiste;;;Exposant pour la première fois au Salon des Indépendants de 1907, Marie Laurencin est liée d'amitié avec René-Jean. Jacques Doucet acquiert deux de ses toiles pour sa collection personnelle ,  elle est également présente dans le fonds d'estampes de la BAA. 
;;;;;;;;
;Gide;André Gide;Gide, André;agide;ecrivain;;;Romancier français d'abord associé au symbolisme, puis considéré comme représentatif de la modernité en littérature, Gide fait partie des écrivains dont les manuscrits sont achetés par Doucet pour sa bibliothèque littéraire. 
;;;;;;;;
;Piot;René Piot;Piot, René;rpiot;artiste;;;Le tableau de René Piot cité ici est le triptyque intitulé Le Martyre de Saint-Sébastien, 1913 (Paris, musée d’Orsay). Jacques Doucet en fait don à l’Etat en juin 1918. L’amitié entre René-Jean et René Piot est attestée par leur conséquente correspondance. La vente de décembre 1917 destinée à financer la donation de la BAA à l'Université comprend 15 dessins de Piot. 
;;;;;;;;
