date_format	date_origine	event	type_event	source	important
03/1910	Mars 1910	"Publication du premier volume de la collection ""Publications pour favoriser les études d'art en France"" : Index du Mercure de France 1672-1832. Introduction de Doucet, ambition de la collection. "	baa		non
05/1910	Mai 1910	Voyage du printemps 1910 (1 mois ?) : Doucet voyage à Constantinople et en Grèce et poursuit sa collecte de photographies, d'ouvrages et de périodiques pour la BAA.	baa		non
28/02/1911	28 février 1911	Décès de Jeanne Raimon, maîtresse de Jacques Doucet depuis octobre 1908. 	bio	"DELATOUR, Jérôme. ""Doucet chez Rothschild : La Bibliothèque d’art et d’archéologie de 1923 à 1935"" In : De la sphère privée à la sphère publique : Les collections Rothschild dans les institutions publiques françaises [en ligne]. Paris : Publications de l’Institut national d’histoire de l’art, 2019 (généré le 01 septembre 2023). Disponible sur Internet : <http://books.openedition.org/inha/11317>. ISBN : 9782917902875. DOI : https://doi.org/10.4000/books.inha.11317. "	oui
16/09/1911	16 septembre 1911	"Après le recrutement comme conservateur de Noël Clément-Janin comme conservateur/""directeur"" du ""cabinet d'estampes modernes"", présentation par ce dernier des grandes lignes d'acquisitions (BINHA, ARCH BIB 1-7). CJ personnel de la BAA de septembre 1911 à août 1914. "	baa	Pierre Gassier, De Goya à Matisse : estampes de la collection Jacques Doucet, Martigny, Fondation Pierre Gianadda, 1992, p. 230	non
01/1912	Janvier 1912	"Mise à disposition des lecteurs de la BAA du ""Répertoire iconographique de l'art chrétien occidental"" (Louise Pillion)"	baa	Gil Blas, 31 janvier 1912  ; La Revue archéologique, janvier 1912, tome 19, p. 158-159 ; La Liberté, 9 juin 1912, p. 3 ; BINHA, Archives 47.	non
1912	1912	Projet d'édification d'une bibliothèque. Témoignages de René-Jean (congrès archéologique de Rome, octobre 1912) et de Clément-Janin (voir Chapon, p. et note 85). 	baa	René-Jean, Projet de communication sur la BAA au Congrès archéologique de Rome en octobre 1912, septembre 1912. Bibliothèque de l’Institut national d’histoire de l’art, Autographes 144, 3, 799	non
1912	1912	Publication par la BAA de l'ouvrage consacré par l'abbé paul Brune à la Franche-Comté du Dictionnaire des artistes et des ouvriers d’art, premier volume d'une nouvelle série de publications sous l'égide de Doucet. 	baa	https://inha-fr.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma991000174099706661&context=L&vid=33INHA_INST:33INHA_INST&lang=fr&search_scope=Livres_et_revues&adaptor=Local%20Search%20Engine&tab=Livres_et_revues&query=any,contains,Brune%20dictionnaire&offset=0	non
1912	1912	Jacques Doucet fait aménager au 46, avenue du Bois (Paris ; actuelle avenue Foch) un appartement. 	bio	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 246	non
08/06/1912	5-8 juin 1912	"Vente ""Collection Jacques Doucet. Dessins, pastels, sculptures, tableaux, meubles et objets d'art du XVIIIe siècle"" ; Paris, Galerie Georges Petit, Fernand Lair-Dubreuil et Henri Baudoin, commissaires-priseurs"	autre	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 242 https://agorha.inha.fr/ark:/54721/bb5ee589-616c-474e-b39e-8342f40f6291	non
1913	1913	"Doucet s’accorde avec Louis Liard, vice-recteur de l’académie de Paris, pour léguer sa bibliothèque à l’Université. Ce legs est rendu publique par René-Jean en février 1914. Liard souhaite ""fonder un Institut qui soit, pour l’histoire de l’art, ce que doit être pour l’océanographie l’œuvre du prince de Monaco"". "	baa	Sylvie Maignan, Un critique d’art parisien, René-Jean, 1879-1951, mémoire de maîtrise, Paris, École du Louvre, 1979, p. 115-116 ; René-Jean, « La Bibliothèque d’art et d’archéologie », Revue de synthèse historique, 28-1, février 1914, p. 168	non
29/12/1913	29 décembre 1913	Jacques Doucet emménage au 46, avenue du Bois (Paris ; actuelle avenue Foch). 	bio	André Suarès Jacques Doucet. Le condottiere et le magicien, correspondance choisie, établie et préfacée par François Chapon, Paris, Julliard, 1994, p. 60	non
06/06/1914	3-6 juin 1914	JD acquiert pour la BAA la collection Foulc (livres d'architecture). 	baa		non
07/08/1914	7 août 1914	Fermeture « momentanée » de la bibliothèque d’art et d’archéologie.	baa	Société historique de Lisieux, fonds Deville, C5/9, agenda de l'année 1914. 	non
30/09/1914	30 septembre 1914	Fermeture définitive de la bibliothèque d’art et d’archéologie.	baa		oui
06/01/1915	6 janvier 1915	Doucet écrit vouloir donner sa bibliothèque à l'Université de Paris après la Guerre. 	baa		oui
11/10/1915	11 octobre 1915	Décès d'André Dubrujeaud, l'un des deux fils de la sœur de Doucet.	bio		non
11/12/1915	11 décembre 1915	Décès de Georges Hoentschel, architecte-décorateur ayant conçu la décoration du 19 rue Spontini (Paris).	autre		non
15/06/1916	15 juin 1916	Suarès adresse à Doucet un plan d'acquisitions pour sa bibliothèque littéraire. 	autre	Edouard Graham, Les écrivains de Jacques Doucet, Paris, Editions des Cendres / INHA, 2011, p. 345	non
17/12/1917	17 décembre 1917	JD évoque la vente à venir des dessins, nécessaire pour financer son don à l'Université.	autre	https://agorha.inha.fr/ark:/54721/7ba5012c-b233-41c2-bada-b5a441545f6d	non
29/12/1917	28-29 décembre 1917	"Vente ""Collection d'un amateur. Aquarelles, pastels et dessins modernes"" ; Paris, Hôtel Drouot, André Desvouges, commissaire-priseur. Cette vente est nécessaire à Doucet afin de financer son don à l'Université. Doucet annonce à René-Jean la prochaine nomination de Joubin. "	autre	https://agorha.inha.fr/ark:/54721/7ba5012c-b233-41c2-bada-b5a441545f6d	non
29/12/1917	29 décembre 1917	Après la mort de Louis Liard le 21 septembre 1917, Doucet s’entend avec son successeur, Lucien Poincaré. Le 15 décembre, il adresse une lettre de donation à l’université de Paris, avec date d’effet à compter du 1er janvier 1918. Doucet a déjà retiré de la BAA quelques-uns de ses plus beaux livres illustrés contemporains, tel L'Après-midi d'un faune de Mallarmé illustré en 1876 par Edouard Manet, pour alimenter Sa bibliothèque littéraire. 	baa	"Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 247 ; DELATOUR, Jérôme. ""Doucet chez Rothschild : La Bibliothèque d’art et d’archéologie de 1923 à 1935"" In : De la sphère privée à la sphère publique : Les collections Rothschild dans les institutions publiques françaises [en ligne]. Paris : Publications de l’Institut national d’histoire de l’art, 2019 (généré le 01 septembre 2023). Disponible sur Internet : <http://books.openedition.org/inha/11317>. ISBN : 9782917902875. DOI : https://doi.org/10.4000/books.inha.11317. "	non
1918	1918	André Joubin, archéologue et normalien, directeur du musée Fabre de Montpellier, est nommé directeur de la BAA par l'Université de Paris. 	baa		non
14/02/1918	13-14 février 1918	"Vente ""Œuvre gravé de Gilles Demarteau l'aîné et de G.-Ant. Demarteau"" ; Paris, Hôtel Drouot, André Desvouges, commissaire-priseur"	autre	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 242	non
15/02/1919	15 février 1919	Jacques Doucet épouse Jeanne Roger, qu'il fréquente depuis le milieu des années 1890.	bio	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 247	non
09/05/1919	9 mai 1919	"Vente ""Eaux-fortes originales, gravures, dessins, livres et catalogues illustrés par Gabriel de Saint-Aubin"" ; Paris, Hôtel Drouot, André Desvouges, commissaire-priseur"	autre	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 242	non
01/06/1921	1 juin 1921	André Breton commence à conseiller JD pour ses achats d'art contemporain. Voir lettre de 3 décembre 1921. Acquisition des Poissons rouges et palette de Matisse en 1921 et des Demoiselles d'Avignon de Picasso en 1923. 	autre		non
18/05/1924	18 mai 1924	Doucet demande à René-Jean de donner en son nom au musée Guimet les photographies de Goloubew. 	baa		non
05/11/1924	5 novembre 1924	Inauguration de la BAA dans l'hôtel Salomon de Rothschild, 11 rue Berryer (Paris), par Gaston Doumergue, président de la République. Il s'agit d'un transfert temporaire, en attendant l'aménagement d'un institut d'histoire de l'art rue Michelet par l'Université de Paris, avec le soutien financier de la marquise Arconati Visconti. 	baa	DELATOUR, Jérôme. Doucet chez Rothschild : La Bibliothèque d’art et d’archéologie de 1923 à 1935 In : De la sphère privée à la sphère publique : Les collections Rothschild dans les institutions publiques françaises [en ligne]. Paris : Publications de l’Institut national d’histoire de l’art, 2019 (généré le 01 septembre 2023). Disponible sur Internet : <http://books.openedition.org/inha/11317>. ISBN : 9782917902875. DOI : https://doi.org/10.4000/books.inha.11317. 	non
1925	1925	Vente de la maison de couture.	autre		non
1925	1925	Marie Dormoy est chargée de la bibliothèque littéraire Jacques Doucet. 	autre	Pierre Gassier, De Goya à Matisse : estampes de la collection Jacques Doucet, Martigny, Fondation Pierre Gianadda, 1992, p. 233	non
1927	1927	Jacques Doucet fait aménager le Studio 33 rue Saint-James (Neuilly).	bio	Georgel Chantal (dir.), Jacques Doucet collectionneur et mécène, Paris, Les Arts décoratifs / INHA, 2016, p. 247	non
22/03/1927	22 mars 1927	Doucet demande au critique Léon Moussinac une bibliographie sur le cinéma, en vue de la création d'une bibliothèque cinématographique. 	autre	Anne-Élisabeth Buxtorf, « Jacques Doucet et le cinéma, une ultime bibliothèque », dans Chantal Georgel (dir.), Jacques Doucet collectionneur et mécène, op. cit., 2016, p. 226-229	non
30/10/1929	30 octobre 1929	Décès de Jacques Doucet à Neuilly-sur-Seine. La bibliothèque littéraire est léguée par son testament daté du 1er juin à l'Université de Paris. 	bio	agorha : https://agorha.inha.fr/ark:/54721/96364584-69eb-4240-90dd-459f6138e473	oui
